id;produkty_id;stav
QB-612S;25158;0
APZ106 Professional Low-1050 MI1205;21728;0
GL62221/S - výprodej;450390;1
APZ106 Professional Low-750 MI1207;21682;0
k7/510;2096;0
APZ106 Professional Low-750 MNPOSH;21673;0
WIMS141;967836;1
VPBA151PAI3X-01-NO;14939;0
APZ1101 Low-1150 MB;21225;0
24235203;992404;0
0504/W;7228;0
KE 22054-26;399798;1
X070070bazar;934116;1
Excentr-bateriovy;466399;1
KD02100229;28191;1
A000000004;10863;1
5060.s -CR;6242;0
68510;970140;1
12112100;444921;1
24235203AC;992405;0
172447;992406;0
radpst151;20206;1
229455;483816;1
APZ106 Professional Low-550 MNPOSH;21638;0
radpst311;20207;1
LO 5031C-P-26;18943;1
A003701120;7371;1
04160170;60548;1
M30114000;459166;1
68515;970139;1
APZ101 Low-850 MC;21098;0
APZ101 Low-1050 LP;21119;0
68525;970137;1
gsh390lm;8152;0
1010484 ;445597;0
3516170042101;10225;0
wcpremierzadni;19092;0
APZ4 Flexible-850 ML;20943;0
APZ101 Low-850 MP;21096;0
APZ106 Professional Low-950 MI1205;21712;0
BCMADE290CFL;31004;1
24247601;992412;0
LDL627;767142;0
68530;970136;1
68540;969418;1
APZ4 Flexible-850 MH;20946;0
23120101;623;0
CM01000000;14184;1
ED62BLUEW;445529;1
02101106;470725;1
LO 5055SM-26;18956;1
140.01H-CR;7062;0
NL539;5621;0
LO 5094C-26;18958;1
20120;20599;0
ovk150;14976;0
B3001816A/06;975158;1
X07P114;1793;1
68545;970134;1
33.08.01;469761;1
VPBA175CAV2X-CR-NO;14957;0
X01106;5588;1
twi06p1;975159;1
362-1 V4;7203;0
twi05l1 ;975160;1
APZ101 Low-1050 LD;21127;0
664011;234;0
1AN70U00ZG;568;0
CO154.5;35405;1
115.0154.298;24278;1
26130701TNAD;992816;0
811113;476526;0
APZ106 Professional Low-750 LNDESIGN;21670;0
VPDIL0024;14886;0
Ki 14094KN-26;421768;1
Ki 14060-26;18808;1
PD0004CMAT;745016;1
20016701FU;992007;0
tangit20m;449779;1
jokeykandiled;482239;1
"77011,0";19249;0
Ki 14096-26;18816;1
MK45691;989336;1
XMOO0022;737528;1
0NHI;430760;0
511;445;1
Lay on 80x60 SB;2578;0
up-down6560;468674;1
X07P325;419244;1
HXP;40707;0
VPBA143IRI3X-01-NO;14910;1
"92091,0";19123;1
NA066;36165;0
K08-013;13860;1
5090-bily;439;0
MS150ATYP;5833;0
MK028;36125;0
wir900905004 ;3858;0
twi05p1 ;975163;1
WIMS70;967829;1
COA0604;459146;1
eqh150;483323;1
MK180.5;18659;1
B3001816A/07;975165;1
1009596 ;445590;0
kasandra180;680710;1
DECA201PA;30913;1
A827701010;11285;1
VPBA177PEN2E-01-NO;14902;1
WIR550800604;3872;0
MON016;27876;0
MS047;23212;1
230839;20641;1
BCCORD280CC;28599;0
WIMS80;967830;1
H8213870000001;472803;1
radpst413;20214;1
pxn612ebazar;478987;0
1610-584-050;466982;1
VPBA141SEL3LE-01-NO;14926;1
X070058;24018;1
SG3260 - SG3678;8582;0
wia9015004154;3947;0
vis02lx1;975172;1
VPBA191GAI7X-01-NO;14942;1
0NNA010PZ1;6236;0
t1015c;4592;1
UN 13054S-26;18886;1
WI290;789540;1
01990097;14327;1
VPBA170EBO2X-01-NO;14882;1
Sanitoa granit;12813;1
465935000717;649057;0
12120100;444908;1
LDS3048-5M;31910;0
LINOS 170×75;469474;1
SELLA MADISON 60;993694;1
EL3000INV;481298;1
84411 - CH12;4591;1
LTS007;27744;0
84302;294;0
APZ1106 Professional Low-550 GP1204;21762;0
02067c;954641;1
02463606LM;993706;0
10120;5893;1
9134450;468651;1
199083;441884;0
BCCORD290CF;28600;0
pítko;5078;1
8.2021.3.000.000.1;6472;1
58603;4635;0
redtermo;448910;1
APZ1101 Low-950 LH;21197;0
PO-MX 2209;29841;1
APZ106 Professional Low-1050 LNDESIGN;21719;0
eqh12v;993716;1
907006003719;649058;0
ET812;789460;1
64013;20548;0
KON-400;10980;1
APZ101 Low-750 MH;21088;0
HB150i;1996;1
3674200040001;602;1
APZ106 Professional Low-650 GP1204;21661;0
BR 11055S-26  ;11101;1
ch-750kn;535917;1
GL 8940;9174;1
xr008;566811;1
001010022;29978;0
CB700E;475239;1
PATF65;12891;0
12080100;444916;1
RADTRK401535;993720;1
BR 11061D-26 ;9613;1
BR 11055B-26  ;2677;1
447700012719;649059;0
rimless-square;663196;1
APZ106 Professional Low-650 MI1207;21665;0
7153;31849;0
X07P195;28566;1
BR 11055-26 ;9612;1
1818F;441796;0
26-02-2;8077;1
5121k;8403;1
GL 8901;10661;1
chm20f;993524;1
BCCORD290CC;28601;0
6168.45-540mm;8528;1
114.0395.152;682315;0
12100000;444919;1
VANKVRA80;3616;1
X07P187;28557;1
107926;991216;0
12120000;444907;1
512;675;0
SELLA MADISON 50;993695;1
ET711;789445;1
VPPA15002FP2-01/DR;989330;1
361430000711;649138;0
86.579;9338;1
ED09590SC - výprodej;535673;1
86.211ll;18038;1
03272c;28571;1
SG1240 - SG1569;9112;0
361830023731;641275;0
radpst411;20209;1
KD02100233;28193;1
1098940;454481;1
BCMADLO04;28596;1
386001;3360;1
TEN016;53459;0
BR 11053-26 ;806;1
COA0400;459133;1
OLBAVV30108;993517;1
SE918.0;17962;1
12110000;444903;1
intimus mini pro;472485;1
ET707;789404;0
L1047AAAJ;52487;0
162113;990382;1
CO183L;461317;1
villa9010;13639;1
497830000718;641276;0
OLBAAXE33BK;993519;1
12110200;444905;1
OLBAMOD18;483433;1
X07P190;28560;1
k7/505;1341;0
115.0543.294;680821;0
ewh200;420964;0
MD0485;453209;1
sella 43243;445478;1
20312001;990387;1
int02px1;976056;1
OELD4;449364;0
ewh220;420965;0
A674S;549694;1
X184;16720;1
111.370.00.5;19501;1
TC-TP2000;458677;0
sella 43244;445479;1
POOTSET07;22252;1
vis06lc1;975189;1
uni02p1 ;460062;1
ehh120;449430;1
011720;31325;0
"IRV116CR	";29609;0
SG1240-SG1567;8475;0
WC/DUB2;19483;1
013G4279;5633;1
BA802180C;8421;1
nozickyecm;449425;1
BA69;22304;1
ET712;789446;1
HL211V;22196;0
ELM0233;429026;1
687740450001;636998;0
maracana50;475978;1
jokeycento60ls;443675;1
1085986;454478;1
HL253VPTC;22198;0
HL293VPTC;22199;0
548;14178;1
363130023711;636999;0
501;105;0
00860-1/2;36309;1
VPBA140CAV3X-01-NO;14919;1
506;5271;0
00900000;3484;1
470835040717;637000;0
X07P177;29739;1
ELM0026;40341;1
00901100;40275;1
uni80;547573;1
L91155000;459431;1
00900500;422449;1
430200013715;648947;0
5100;123;0
00900100;3350;1
510pu;5291;0
APZ106 Professional Low-650 LNDESIGN;21653;0
Ki 14055g-26;18818;1
Ki 14035-26;18810;1
handy35shower;467430;1
Ki 14046-26;18811;1
513;12907;0
X07P178;29740;1
OLBAAXE33BG;993520;1
BCMADE280CFP;31007;1
venezia8009;33256;1
433630020001;637038;0
ET911;789465;1
CN202ZF;22200;0
VPBA167VEA2X-01-NO;14892;1
1014953 ;445607;0
X07P189;28556;1
363647980714;637039;0
ZRTAHI6010;9803;0
APZ1004 Flexible-1050 LP;21031;0
T-2454;13503;1
3111N10041111;18436;1
5570.2111;5463;0
59913884;440941;0
OLBAAXE33;993518;1
ET990;789402;1
MC201;22201;0
S11E;482726;1
700201700698;543;1
513R;6243;0
BM 7035-18;22474;1
514;4737;0
BM 7335-18;545317;1
5570.2122;11038;0
514R ;131;0
526ut;202;0
25-05-SD560/R100    ;1174;1
BM 3035MC-26;9280;1
MD0484CMAT;483953;1
20735399;991683;0
gb8495;3093;1
VPPA09002EP2-01-DR;14878;1
5260;14435;0
526put;179;0
21027304;991702;0
21027313BM;991716;0
21027313NM;991717;0
5570.2123;4482;0
termo343;461185;1
gb8599;3090;1
VPPA14301FP3-01-DR;14911;1
ET909;789439;1
VPPP15009FP3-01-DR;14921;1
BLMI203CC;3317;1
5570.2211;5452;0
5570.2222;5467;0
5570.2223;514;0
432930020730;637040;0
5570.3111;5469;0
gb8940;3081;1
VPPA08002EP2-01-DR;14875;1
KD02100234;28041;1
VPPP16009FP3-01-DR;14924;1
443635003715;637042;0
VPPP15007FL3-01-DR;14927;1
SELLA MADISON 45;993696;1
VPPP16001FR3-01-DR;14918;1
VPPA07502EP2-01-DR;14872;1
VPPP16002FR3-01-DR;14937;1
447748040030;637058;0
5570.3211;5915;0
VPPP16005FL3-01-DR;14931;1
5570.4111;5472;0
5570.4211;5927;0
718311;36814;0
1026-02;11910;1
VPPP15007FP3-01-DR;14928;1
UN 2012-26;549385;1
euro10pb;22187;1
m71;8073;1
Linie80cm ;35189;1
APZ4 Flexible-750 MB;20941;0
575;5193;0
VPPP15008FP3-01-DR;14909;1
542.121;5371;0
orient70cm;35203;1
542.321;482;0
Dest80cm;35199;1
maracana35v;475980;1
PCM001;5323;0
542.311;5440;0
MK193SM;468667;1
SELLA GOLD 45;36342;0
AS518;60624;1
KE 22091RBX-26;399801;1
APZ1101 Low-850 LD;21189;0
542.411;5381;0
5420.111;480;0
5420.212;5352;0
bclugu;13097;0
flexo-magenta;791930;1
81024;4417;1
WI310;789541;1
RE10A  ;20306;1
ELX8-5;993529;1
MK102.0/27;23355;1
VP-90;22129;1
02463608LM;993708;0
5246360651;990480;0
mk38965;42331;1
KE 22046D-26;399792;1
epkos500;443126;1
5420.222;479;0
5420.311;713;0
03216402;990503;0
"73061/1,0";19263;1
5420.321;6585;0
WIM120;967838;1
5420.411;6264;0
5420.421;5363;0
5480.121;419;0
12463604;990465;0
X01309;207;1
01970200;393225;1
5480.212;12649;0
528;2311;0
MS071.0Y;17780;1
5480.222;7037;0
CO148.5;452044;1
X070052;3746;1
k7/507;13000;0
VPBA158ULT2X-01/NO;989329;1
APZ4 Flexible-550 P;11927;0
25-02-SD560    ;8066;1
APZ1106 Professional Low-550 MNDESIGN;21756;0
25-03-SV550;7212;1
TE006;8436;0
"6450/1,0";42160;1
H3211X70044001;472256;1
10AR65041;22584;0
86.109xx;18080;1
TR 403N-26  ;10333;0
wia901400404  ;3940;0
BCMADLO02;28594;1
42930;23927;0
UF-DERBY;437106;1
8387950300008;439787;0
čtverec2020nerez;419251;1
SELLA MADISON 55 ;993697;1
GL 8500;9457;1
D103510;418981;1
229456;483817;1
087;54311;1
A00300101;32352;1
ring-core-195853;663205;1
EASY-RC-EK;566814;1
3868;476418;1
PACL75;36760;1
A105001;40350;1
86.111;7250;1
02101107;470722;1
H3111X10041101;472255;1
14466;31706;0
84330200 ;483580;1
"70710,0S";467043;1
H3211X60040001;780274;1
ring-gips-195853;663201;1
K98-0069;450483;1
HPM 9231-10;549294;1
859102V;443038;0
SF690;789312;1
3674200040421;13588;1
k7/407;14119;0
02110100;470776;0
95611HA;680943;0
01303.CH;418677;1
CB466Q;467483;1
KSET-014;477025;0
"55045,0";19934;1
12102200;444913;1
VPBA170BRI2X-01-NO;14870;1
1203091;458270;1
22611HA;680965;0
59906563;440105;0
A102000;34990;1
115.882.KK.1;410626;1
t-705;8529;1
A67SLIM;379448;1
LINOS 180×80;469475;1
S101E;482725;1
NL560;24789;1
ED2602;41264;0
SELLA MADISON-V;993698;1
LINOS 150×70;970999;1
X07P345;386107;1
EL1515EL3315;460972;0
384737;6781;1
OLBES3VOB;387289;1
1610-584-060;466983;1
ZP 13006;448928;1
KR143LP;36065;0
ED677;12310;1
VPBA159AVO3LX-01-NO;14912;1
X07P007;31059;1
111.300.00.5;8599;1
1714;32451;1
EL1715EL3315;461197;0
CV1014;9275;0
WI014;789536;1
up-down65120;468677;1
754590;33094;0
COA0202;459123;1
CO154.5CMATC;465651;1
MK154.0;18017;1
M194;16682;1
AM719.0/10R;449673;1
K98-0068;450482;1
GP10080L;2687;1
X07P330;419249;1
"98803,0";481163;1
Edelstahl;28447;1
COA1200;459220;1
431200010231;641251;0
a93;21401;1
X070060;60543;1
B32000000N;3405;1
SE903.5;23519;1
0PVA0100Z1;7236;1
CE41;23656;1
F10 32 51;477462;1
IR157;36507;1
tp325-bidet;11013;1
sellagoldvrchnidrevo;36348;0
nanopena-auto-moto;53255;1
APZ1106 Professional Low-650 MI1205;21781;0
02463608OR;993707;0
02463610AC;993709;0
78756R;993537;0
361420 ;6384;1
BH7011;24881;1
BCMADE280CFL;28651;1
K30-001-P;450431;1
A604;34618;1
84418;8381;1
PAN00873;34962;1
DL1415DL3415;40534;1
A510VE;482702;1
SELLA GOLD 60;36345;0
0MBT;53337;0
710.135.5.K;4616;1
"55150R,0";19942;1
VPBA180BRI2X-01-NO;14873;1
X070049;5287;1
bn320;481165;1
PS01T;24902;1
LA045;36079;1
OV240-1219;453676;1
OLBAUN18;28584;1
BN1815R;897;1
DM245;4403;1
TMR009;41272;0
8779;9914;1
57162211;393072;1
671 Obklady 2015;387482;0
54111;4408;1
SG901;421518;0
14919;448681;1
X000000765;386210;1
WC/JASAN;19469;1
RH322;433774;1
3617100040211;18349;1
1104-05;14323;1
2044-18;28319;0
L254.5Z;17107;0
ppx610-58;1999;0
LS101;406186;0
78792;36428;1
V-HOLLYWOOD-DREAMS;41187;0
DT-HP155;396763;1
20725499;991634;0
1102-05;30783;0
X000000842;425516;1
XS700;11671;1
ch-950/50mn;535925;1
LE006;11546;1
20735191;991635;0
1102-10;23632;1
DT268.0;16661;1
812160;20265;0
BN0515R;33035;1
BN4015L;9093;1
EDE007;35542;0
20735192;991636;0
20735199;991637;0
MT131;36942;1
A0070700;947197;1
20531201;993055;0
20538501;993056;0
20539501;993057;0
20549501;993058;0
19260603;993069;0
19290603;993070;0
20560301;993071;0
20560302;993072;0
GL 9700;4786;1
20735212;991657;0
341701;13130;1
21116101;990330;0
21116101AC;990331;0
21116101BM;990332;0
55637;11748;1
16163623;990460;0
FA2760-AP011-S;931999;1
SKA090-1218;475553;1
ET810;967805;0
PR086;467574;0
139103;990497;0
ET08;967826;0
139103DA;990498;0
139104;990499;0
ET9090;967825;0
WI250;967828;0
ET06;967827;0
139104DA;990500;0
139120;990501;0
139120DA;990502;0
WIMS100;967832;1
WIMS140;967835;1
03216409;990505;0
03216409LV;990506;0
03217409;990507;0
03217409LV;990508;0
03217609;990509;0
03217609LV;990510;0
KA256;549796;0
132130;990523;0
132145;990524;0
132176;990525;0
132510C;990526;0
BR 11091BS-26;2727;1
20735291;991658;0
3072.600;22620;1
LO41L163DBR;445723;0
062200BM;990587;0
RW056-S;451964;1
25-02-SD460    ;5649;1
AM115/1000;434626;1
OLBMAE14EX;385872;1
20044001NE;990659;0
169145;991659;0
20735292;991660;0
20735299;991661;0
25-05-SD460/R155  ;14623;1
AERGIR;27547;1
20548701BM;990688;0
20548701NM;990689;0
52433402;990699;0
52433403;990700;0
Lay on 80x60 DB;9595;0
SK116;23713;1
SPD1512-P;549496;1
FA2760-AP011-T;932000;1
VYPSTA;3960;1
242.555.00.1;19569;1
KML;40787;0
13463310;990783;0
13463410;990784;0
44023;8825;0
16117102;990811;0
161840;990812;0
16216150;990813;0
162840;990814;0
18718250;990815;0
29961006;990823;0
LS030C;545103;0
913463320;990831;0
913463330;990832;0
9134672;990833;0
91346825;990842;0
91346826;990843;0
CO2020;24821;1
BN7915L;33048;1
03696C;28702;1
SG204;421779;1
BARE336S;386700;1
TR130C;437497;1
TS103;745943;0
00815401AC;990971;0
00815401BM;990972;0
00815401NM;990973;0
406980;990974;0
4071649;990975;0
1326-02;36684;1
00611002;990998;0
00611002D;990999;0
00612001;991000;0
00612001D;991001;0
00612302;991002;0
00613001;991003;0
00620003;991004;0
00620004;991005;0
00620010;991006;0
00620011;991007;0
00620012;991008;0
00620101;991009;0
ED163;24825;1
107167;991045;0
10717002;991046;0
107503;991047;0
08116104;991757;0
081192;991758;0
08119301;991759;0
08119701;991760;0
SKA090-1217;475534;1
52TD0103E_;386026;0
20018201VE;991134;0
20018201VI;991135;0
20263901AC;991136;0
29933703;991137;0
29933703LV;991138;0
OLBA622031;29794;1
00618301;991184;0
02418201;991185;0
03433601;991186;0
03433603;991187;0
03433604;991188;0
08119702;991761;0
09018601;991762;0
XQ101;31249;1
TN099;32846;1
22482;13105;1
HVO-300C;448623;1
BA032;22102;1
09286564;991441;0
RA1167;20236;1
123210;991344;0
123214;991345;0
123215;991346;0
123217;991347;0
123230;991348;0
123310;991349;0
SL350;20766;1
09286320;991418;0
09286321;991419;0
09286322;991420;0
09286398;991421;0
09286399;991422;0
TR190C;437247;1
09286565;991442;0
795V0U00Z1;7606;1
134345;991783;0
134445;991784;0
134550;991785;0
161194;991786;0
162161;991787;0
162245;991788;0
X01453;31104;1
20516103;991852;0
LINOS 160×70;469473;1
GM040;24794;1
13029.B;418693;1
SF140;789298;1
MH1503C;745015;1
20012002BLD;991977;0
20016203NM;991991;0
20016409AC;991992;0
20016409AM;991993;0
20016409BL;991994;0
20018002VI;992043;0
20018005AC;992044;0
20018005BM;992045;0
20018005NM;992046;0
20019501AM;992047;0
GEFR;397067;0
20020304ACD;992070;0
28812;27716;1
20020501FUD;992106;0
20020501NAD;992107;0
20020501NED;992108;0
20020501NMD;992109;0
20020504VID;992145;0
20020505ACD;992146;0
20020505AMD;992147;0
20020505BLD;992148;0
20020505BMD;992149;0
LDS3144-5M;31905;0
20020002;992215;0
20020003;992216;0
20020303;992217;0
20020304;992218;0
20020305;992219;0
GP11075L;436898;1
21812;31552;1
724807;429445;1
TH075;549128;0
21130501NMD;992551;0
SF076A;12414;0
SET047;412613;1
"70710,0C";467042;1
BN1015R;33045;1
14849;32326;0
9465111;546357;1
DR420;452862;0
20266101;992710;0
20266102;992711;0
20298001AC;992712;0
20298001BM;992713;0
20725202;992714;0
XH511;11697;1
26130701;992812;0
26130701ACD;992813;0
26130701TBLD;992814;0
26130701TFUD;992815;0
SR930;36893;1
NR086;547431;1
DL4315DL3315;278182;1
9423211;546356;0
26222402TVED;992904;0
26222402TVID;992905;0
26230801TVED;992928;0
26230801TVID;992929;0
26231201;992930;0
26247001;992931;0
26247001AC;992932;0
26247001BM;992933;0
61006;13989;0
1205-11;9823;1
77086;23819;0
26290403ACD;992985;0
26290403BMD;992986;0
26290403NMD;992987;0
26290403TAMD;992988;0
26290403TBLD;992989;0
uni06l1 ;988015;1
01210303;993011;0
01217901;993012;0
01220002;993013;0
01220801;993014;0
112100;993015;0
112103;993016;0
61111;435765;1
00749501;993035;0
uni07l1;988017;1
uni06p1 ;988016;1
22010810;20251;1
20635202AC;992453;0
20635202BM;992454;0
21120283NM;992531;0
21120301;992532;0
21120301ACD;992533;0
21120301BMD;992534;0
21120301NMD;992535;0
21120302;992536;0
26290401NMD;992963;0
26290401TAMD;992964;0
26290401TBLD;992965;0
26290401TFUD;992966;0
26290401TNAD;992967;0
26290401TNED;992968;0
530;4924;0
EKD670;433793;0
AV103;36974;1
LR554.5/1;23241;1
06152211;392998;1
9042;10839;1
470448042731;637059;0
ED472;32849;1
FL1114R;545111;1
903709;547558;1
WIMS110;967833;1
NEX004;448543;0
GO4810GO3570;40790;1
NR072;547400;1
ED463;32848;1
DL1415;14005;1
NL635;24791;1
20169;32037;0
9431111;546341;0
LA062;36086;1
SET015;412463;1
497830003030;637078;0
VO930BR;36600;1
XR600;7377;1
SP023;34693;1
990E;10584;1
72759;36830;1
RW091L;33109;1
XP033;9842;1
72952;475424;0
LA5;32853;0
KL17071-2;35101;0
532501;538030;1
75580PF11;36643;1
XR412;7380;0
XR206;2941;0
SR930BR;36888;1
MI010;454;1
35CAI025;11939;1
TR120F;437600;1
BN6515R;33023;1
TR240L;437230;1
A556110P;41469;0
258300013199;637079;0
MT112;36962;1
AR427;546215;0
BN4918L;32981;1
TR140F;437308;1
MI011;9334;1
22210204;30805;0
363147983199;637080;0
063220051;12894;1
SL760xx;32515;0
TR200C;437249;1
OV140-1218;453395;1
431648043199;637081;0
59914074;441053;0
3345;14035;0
AV1407;765366;1
BN4515R;5152;0
CP6020;13627;1
12189-01;691;1
431848040199;637082;0
BN2518R;32984;1
TRP160R;782365;0
374201;31180;1
uni07p1 ;988018;1
MB453;23792;1
761490;9767;0
33153;31614;0
56316;8506;0
KL1888-1;12772;1
RI20351;674;1
XS701;11660;1
BN5615L;13918;1
363547983719;637084;0
MI016;23669;1
SOF3J;36191;1
GL62RP2151;386775;1
MT183;36970;1
1712;32447;1
5869700332;441232;0
PE0177;433452;1
SR245BR;31953;1
COLIMA_;33072;0
AV195;37018;1
PE0197;433453;1
758308;13420;0
ELB002;31520;0
KI15BB;399654;1
IRPA13;13542;1
1075X;441650;0
XP045;14856;1
2605CR ;11727;1
CR-214C;32714;1
LX103;36842;1
RW514;457513;1
MR10ZL;419028;1
WA090KL;33110;1
TR190L;437233;1
SIN010;448954;0
MD452;560520;1
SG3260 - SG3679;1577;0
RW066;437085;1
77051;4777;1
IN316;467333;0
77053;9140;1
mont;40922;0
SR002BR;31960;1
001010218;30401;0
RF002/16;545524;1
RW054-S;451963;1
KL1399;14735;1
MG055;23663;1
DK005;22072;1
q523051;9726;1
XQ406;13278;1
DK007;22083;1
AU268;4984;1
H8233800000001;472455;1
59914077;441054;0
AV108;763377;1
43311;414;1
LND013;448527;0
XJ401;6546;1
XP041;13166;1
71125383;446308;0
OV200-1218;453485;1
2501-12;13349;1
am645151;4567;1
XH506;6315;1
13187;443501;1
PY58/14;433481;1
94611H;680966;0
371701;31184;1
OV090-1218;453237;1
XR404;6675;0
498600010727;637088;0
72505;36799;1
IF44156;7302;0
5370T;12829;1
341531;13005;0
RH392;433776;1
234134010701;637089;0
GO1190;36184;1
CD-110;22137;1
BN9615L;33066;1
AL5318-63;18021;1
KI42BB;399657;1
MON009;27866;0
LD08;23738;1
168224;436368;1
XP017;6051;1
250151;9846;1
PAPR80;36886;1
232112;441989;0
RJ120;31773;1
884217;547531;1
AC224BR;36906;0
1102-11;23824;1
BN3018L;33001;0
59913473;442620;0
"12181,0";10328;1
22525;40989;0
80622-1300;13826;1
57612;421565;1
100.1.080080.19;414441;0
TAURUS;32634;0
47850;23943;1
FLEX200;23725;1
XS100;9627;1
28909;32569;1
62033LP;36195;1
KR170R - SC1;744932;0
MK045;22044;0
SAV003;28232;0
505_;386092;0
BN8918R;33005;1
IRPA18;25175;1
DEVIN22;6900;1
ATR012;397618;0
BN9415R;33025;1
E4/72H;6076;1
122.1.050050.19;414500;0
LA552LP;409496;1
